Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Sweden,2020-03-01 23:23:02,14,0,0,63.0,16.0
,Switzerland,2020-03-01 23:23:02,27,0,0,46.8182,8.2275
,UK,2020-03-01 23:23:02,36,0,8,55.0,-3.0
New South Wales,Australia,2020-03-01 23:33:03,6,0,4,-33.8688,151.2093
,Austria,2020-03-01 23:33:03,14,0,0,47.5162,14.5501
,Bahrain,2020-03-01 23:33:03,47,0,0,26.0275,50.55
"Toronto, ON",Canada,2020-03-01 23:33:03,14,0,2,43.6532,-79.3832
,Croatia,2020-03-01 23:33:03,7,0,0,45.1,15.2
,Denmark,2020-03-01 23:33:03,4,0,0,56.2639,9.5018
,Ecuador,2020-03-01 23:33:03,6,0,0,-1.8312,-78.1834
,Egypt,2020-03-01 23:33:03,2,0,1,26.0,30.0
,Iceland,2020-03-01 23:33:03,3,0,0,64.9631,-19.0208
,Japan,2020-03-01 23:33:03,256,6,32,36.0,138.0
,Mexico,2020-03-01 23:33:03,5,0,0,23.0,-102.0
,Qatar,2020-03-01 23:33:03,3,0,0,25.3548,51.1839
,Spain,2020-03-01 23:33:03,84,0,2,40.0,-4.0
,South Korea,2020-03-01 23:43:03,3736,17,30,36.0,128.0
,Algeria,2020-03-02 00:53:03,3,0,0,28.0339,1.6596
Victoria,Australia,2020-03-02 00:53:03,9,0,4,-37.8136,144.9631
,San Marino,2020-03-02 01:03:12,8,0,0,43.9424,12.4578
Guizhou,Mainland China,2020-03-02 01:13:06,146,2,114,26.8154,106.8748
Jiangxi,Mainland China,2020-03-02 01:33:02,935,1,850,27.614,115.7221
Ningxia,Mainland China,2020-03-02 01:33:02,74,0,69,37.2692,106.1655
"New York City, NY",US,2020-03-02 01:53:03,1,0,0,40.7128,-74.006
Hainan,Mainland China,2020-03-02 02:03:18,168,5,151,19.1959,109.7453
Beijing,Mainland China,2020-03-02 02:13:16,414,8,282,40.1824,116.4142
"Hillsborough, FL",US,2020-03-02 03:13:25,1,0,0,27.9904,-82.3018
"Sarasota, FL",US,2020-03-02 03:23:06,1,0,0,27.3364,-82.5307
"Portland, OR",US,2020-03-02 03:33:08,2,0,0,45.5051,-122.675
"Providence, RI",US,2020-03-02 03:43:02,2,0,0,41.824,-71.4128
Shanghai,Mainland China,2020-03-02 04:03:13,337,3,292,31.202,121.4491
Yunnan,Mainland China,2020-03-02 06:23:04,174,2,168,24.974,101.487
,Thailand,2020-03-02 06:23:04,43,1,31,15.0,101.0
Shandong,Mainland China,2020-03-02 08:03:12,758,6,460,36.3427,118.1498
Shaanxi,Mainland China,2020-03-02 08:03:12,245,1,216,35.1917,108.8701
Taiwan,Taiwan,2020-03-02 08:03:12,41,1,12,23.7,121.0
Hebei,Mainland China,2020-03-02 09:43:05,318,6,296,38.0428,114.5149
Inner Mongolia,Mainland China,2020-03-02 10:23:04,75,0,54,44.0935,113.9448
Henan,Mainland China,2020-03-02 11:43:03,1272,22,1205,33.882,113.614
Zhejiang,Mainland China,2020-03-02 11:43:03,1206,1,1069,29.1832,120.0934
Hunan,Mainland China,2020-03-02 11:43:03,1018,4,887,27.6104,111.7088
Jiangsu,Mainland China,2020-03-02 12:53:02,631,0,543,32.9711,119.455
Heilongjiang,Mainland China,2020-03-02 12:53:02,480,13,356,47.862,127.7615
Fujian,Mainland China,2020-03-02 12:53:02,296,1,255,26.0789,117.9874
Guangxi,Mainland China,2020-03-02 12:53:02,252,2,192,23.8298,108.7881
Diamond Princess cruise ship,Others,2020-03-02 14:33:03,705,6,10,35.4437,139.638
,Spain,2020-03-02 14:43:05,120,0,2,40.0,-4.0
Hubei,Mainland China,2020-03-02 15:03:23,67103,2803,33934,30.9756,112.2707
Guangdong,Mainland China,2020-03-02 15:03:23,1350,7,1059,23.3417,113.4244
Anhui,Mainland China,2020-03-02 15:03:23,990,6,917,31.8257,117.2264
Sichuan,Mainland China,2020-03-02 15:03:23,538,3,386,30.6171,102.7103
Jilin,Mainland China,2020-03-02 15:03:23,93,1,83,43.6661,126.1923
Gansu,Mainland China,2020-03-02 15:03:23,91,2,85,36.0611,103.8343
Xinjiang,Mainland China,2020-03-02 15:43:31,76,3,66,41.1129,85.2401
,Czech Republic,2020-03-02 16:33:02,3,0,0,49.8175,15.473
,Dominican Republic,2020-03-02 16:33:02,1,0,0,18.7357,-70.1627
,Indonesia,2020-03-02 18:03:04,2,0,0,-0.7893,113.9213
Unassigned Location (From Diamond Princess),US,2020-03-02 19:53:03,45,0,0,35.4437,139.638
,Latvia,2020-03-02 20:13:49,1,0,0,56.8796,24.6032
,Andorra,2020-03-02 20:23:16,1,0,0,42.5063,1.5218
,Iran,2020-03-02 20:23:16,1501,66,291,32.0,53.0
,Italy,2020-03-02 20:23:16,2036,52,149,43.0,12.0
,Senegal,2020-03-02 20:23:16,1,0,0,14.4974,-14.4524
,South Korea,2020-03-02 20:23:16,4335,28,30,36.0,128.0
"King County, WA",US,2020-03-02 20:23:16,14,5,1,47.548,-121.9836
"Umatilla, OR",US,2020-03-02 20:23:16,1,0,0,45.775,-118.7606
,Bahrain,2020-03-02 20:33:02,49,0,0,26.0275,50.55
,France,2020-03-02 20:33:02,191,3,12,47.0,2.0
,Germany,2020-03-02 20:33:02,159,0,16,51.0,9.0
,Japan,2020-03-02 20:33:02,274,6,32,36.0,138.0
,Kuwait,2020-03-02 20:33:02,56,0,0,29.5,47.75
,Singapore,2020-03-02 20:33:02,108,0,78,1.2833,103.8333
,UK,2020-03-02 20:33:02,40,0,8,55.0,-3.0
"Santa Clara, CA",US,2020-03-02 20:33:02,9,0,1,37.3541,-121.9552
"Cook County, IL",US,2020-03-02 20:33:02,4,0,2,41.7377,-87.6976
"Grafton County, NH",US,2020-03-02 20:33:02,1,0,0,43.9088,-71.826
"San Mateo, CA",US,2020-03-02 20:43:02,1,0,0,37.563,-122.3255
Tasmania,Australia,2020-03-02 20:53:02,1,0,0,-41.4545,145.9707
,Belgium,2020-03-02 20:53:02,8,0,1,50.8333,4.0
"Toronto, ON",Canada,2020-03-02 20:53:02,17,0,2,43.6532,-79.3832
,Iraq,2020-03-02 20:53:02,26,0,0,33.0,44.0
,Lebanon,2020-03-02 20:53:02,13,0,0,33.8547,35.8623
,Netherlands,2020-03-02 20:53:02,18,0,0,52.1326,5.2913
,Norway,2020-03-02 20:53:02,25,0,0,60.472,8.4689
,Sweden,2020-03-02 20:53:02,15,0,0,63.0,16.0
"Snohomish County, WA",US,2020-03-02 20:53:02,4,1,0,48.033,-121.8339
"Sonoma County, CA",US,2020-03-02 20:53:02,1,0,0,38.578,-122.9888
,Austria,2020-03-02 21:23:04,18,0,0,47.5162,14.5501
,Russia,2020-03-02 21:23:04,3,0,2,60.0,90.0
,Iceland,2020-03-02 22:33:09,6,0,0,64.9631,-19.0208
,India,2020-03-02 22:33:09,5,0,3,21.0,78.0
,Morocco,2020-03-02 22:33:09,1,0,0,31.7917,-7.0926
,Switzerland,2020-03-02 22:33:09,42,0,0,46.8182,8.2275
,Portugal,2020-03-02 22:43:02,2,0,0,39.3999,-8.2245
Chongqing,Mainland China,2020-03-02 23:23:02,576,6,469,30.0572,107.874
Shanxi,Mainland China,2020-03-02 23:23:02,133,0,119,37.5777,112.2922
Hong Kong,Hong Kong,2020-03-02 23:53:02,100,2,36,22.3,114.2
,Saudi Arabia,2020-03-02 23:53:02,1,0,0,24.0,45.0
"Placer County, CA",US,2020-03-02 23:53:02,1,0,0,39.0916,-120.8039
Guangxi,Mainland China,2020-03-03 00:23:14,252,2,202,23.8298,108.7881
,Luxembourg,2020-03-03 00:23:16,1,0,0,49.8144,6.1317
,Romania,2020-03-03 00:23:16,3,0,0,46.0,25.0
"San Mateo, CA",US,2020-03-03 00:43:02,2,0,0,37.563,-122.3255
Jiangxi,Mainland China,2020-03-03 02:03:11,935,1,870,27.614,115.7221
Beijing,Mainland China,2020-03-03 02:03:11,414,8,288,40.1824,116.4142
"Washington County, OR",US,2020-03-03 03:03:02,2,0,0,45.547,-123.1386
Diamond Princess cruise ship,Others,2020-03-03 03:13:06,706,6,10,35.4437,139.638
,Algeria,2020-03-03 03:23:03,5,0,0,28.0339,1.6596
,Qatar,2020-03-03 03:23:03,7,0,0,25.3548,51.1839
"Fulton County, GA",US,2020-03-03 03:33:02,2,0,0,33.8034,-84.3963
Shanghai,Mainland China,2020-03-03 03:43:02,338,3,294,31.202,121.4491
Yunnan,Mainland China,2020-03-03 03:43:02,174,2,169,24.974,101.487
,Israel,2020-03-03 04:23:07,12,0,1,31.0,35.0
,Pakistan,2020-03-03 04:33:03,5,0,0,30.3753,69.3451
Taiwan,Taiwan,2020-03-03 06:43:02,42,1,12,23.7,121.0
Xinjiang,Mainland China,2020-03-03 07:33:03,76,3,68,41.1129,85.2401
Shandong,Mainland China,2020-03-03 07:53:03,758,6,511,36.3427,118.1498
Inner Mongolia,Mainland China,2020-03-03 09:23:02,75,1,59,44.0935,113.9448
Sichuan,Mainland China,2020-03-03 09:33:02,538,3,394,30.6171,102.7103
Hebei,Mainland China,2020-03-03 09:33:02,318,6,300,38.0428,114.5149
