,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
50,2020-04-03,-42.467665969187074,-14.188798511417286,-16.83284205816094,-51.959795721946826,-50.4513498706237,22.41099038842785
51,2020-04-04,-45.62081814343284,-11.193982661871319,-14.236315797735156,-47.850761296741396,-35.45694922781102,14.489508727932515
52,2020-04-05,-49.631621864738136,-21.194310721603838,-17.904936152834157,-53.11647277889981,-40.503139282523726,12.78999246063588
53,2020-04-06,-41.770782031132406,-16.399762136649972,-17.179755467385874,-52.99813423439537,-50.07729150978342,20.112116379371017
54,2020-04-07,-40.98351763645733,-14.39954402322567,-10.167975612193942,-51.5458469364438,-51.474868670338786,21.018898372397324
55,2020-04-08,-39.99519111067767,-13.599388232462367,-8.963919491482505,-51.293100889166865,-51.67228086046513,21.12570285987815
56,2020-04-09,-42.00543779670856,-12.99914447110557,-10.964231255495818,-53.43985799575457,-52.46885491547488,22.01904933006757
57,2020-04-10,-43.61556650068097,-14.799024334806372,-16.96995933663245,-53.634470029566415,-52.864980684002745,22.91218868966492
58,2020-04-11,-46.76402056191284,-11.804208480529294,-14.373433075000804,-49.040195990349154,-37.15569550187699,14.723042551770124
59,2020-04-12,-50.76994953935552,-21.804536535486715,-18.042053429027977,-53.61950257392624,-41.486300739601425,12.755633388321954
60,2020-04-13,-42.3755148847052,-17.009987943875753,-17.31687274193293,-52.85701459699302,-50.34503283096555,19.80989109248519
61,2020-04-14,-41.055744311592605,-15.009769823862316,-10.305092885399963,-50.7608800165287,-51.02798171369882,20.448908733548887
62,2020-04-15,-39.536316358352224,-14.209614025704989,-9.101036763770416,-49.86477187011891,-50.51121626849424,20.287936868109938
63,2020-04-16,-41.01587903755031,-13.609370260690223,-11.101348526866067,-51.36895443526181,-50.5947780634298,21.18037160363171
64,2020-04-17,-42.09556760237058,-15.409250121127055,-17.107076606843087,-51.36118761001514,-50.27863864941483,22.072877530295624
65,2020-04-18,-44.71462886311232,-12.414434264519272,-14.510550344302779,-46.56551212611743,-34.56832453623618,13.883284027470438
66,2020-04-19,-48.19134167117402,-22.414762317666767,-18.179170696891045,-51.14458255426956,-38.898601121203086,11.915655897701372
67,2020-04-20,-39.79686835444024,-17.62021372610027,-17.45399000870556,-50.38193944356123,-47.75733321295145,18.9698864594076
68,2020-04-21,-38.47705911924931,-15.619995606145594,-10.442210151112477,-48.28564972933372,-48.44028209607597,19.608876958015514
69,2020-04-22,-36.95763116407568,-14.81983980833843,-9.238154028290502,-47.38954151835405,-47.92351665185702,19.447905001372373
70,2020-04-23,-38.43719384239583,-14.21959604381876,-11.238465790530466,-48.89372404533368,-48.007078448306366,20.340339672781592
71,2020-04-24,-39.51688240728571,-16.019475905061707,-17.244193869983764,-48.885957201877176,-47.690939035910546,21.23284555815622
72,2020-04-25,-42.13594366830146,-13.024660048951457,-14.647667607048867,-44.09028172267078,-31.98062492333976,13.043252035169733
73,2020-04-26,-45.61265647635275,-23.024988102095037,-18.316287959641585,-48.66935215082411,-36.310901508322175,11.075623905412062
74,2020-04-27,-37.21818315964009,-18.23043951054484,-17.591107271471678,-47.906709040119665,-45.169633600044165,18.129854467097847
75,2020-04-28,-35.89837392443257,-16.23022139058393,-10.57932741386561,-45.81041932589053,-45.85258248319934,18.768844965725425
76,2020-04-29,-34.378945969267676,-15.430065592789436,-9.375271291050264,-44.91431111491897,-45.33581703898698,18.607873009081466
77,2020-04-30,-35.85850864758396,-14.829821828257463,-11.375583053286967,-46.41849364189287,-45.41937883542761,19.50030768049099
78,2020-05-01,-36.93819721246795,-16.629701689505403,-17.381311132729536,-46.410726798446234,-45.103239423059904,20.39281356587569
79,2020-05-02,-39.557258473464444,-13.63488583336287,-14.784784869799546,-41.61505131922247,-29.392925310480962,12.203220042903482
80,2020-05-03,-43.03397128153148,-23.635213886523307,-18.453405222392124,-46.19412174737866,-33.72320189544126,10.235591913122752
81,2020-05-04,-34.63949796481544,-18.840665294971863,-17.728224534222147,-45.431478636672644,-42.58193398716777,17.289822474812475
82,2020-05-05,-33.31968872960481,-16.84044717498737,-10.716444676600211,-43.33518892243074,-43.26488287029329,17.928812973430276
83,2020-05-06,-31.80026077444147,-16.040291377203758,-9.512388553797535,-42.43908071146654,-42.748117426093856,17.767841016790882
84,2020-05-07,-33.27982345276119,-15.440047612680566,-11.512700316041478,-43.943263238444736,-42.83167922254274,18.66027568820321
85,2020-05-08,-34.35951201764172,-17.239927473924087,-17.518428395482943,-43.93549639499284,-42.51553981016706,19.552781573584987
86,2020-05-09,-36.978573278653585,-14.245111617795052,-14.921902132545638,-39.139820915775815,-26.80522569758455,11.36318805060278
87,2020-05-10,-40.45528608671021,-24.24543967095157,-18.590522485142664,-43.71889134393321,-31.13550228256035,9.395559920833438
88,2020-05-11,-32.06081276998998,-19.450891079385784,-17.865341796962166,-42.95624823321935,-39.994234374276445,16.449790482522385
89,2020-05-12,-30.741003534788064,-17.450672959425713,-10.853561939353343,-40.859958518987554,-40.67718325741666,17.088780981140186
90,2020-05-13,-29.22157557961774,-16.650517161629466,-9.64950581654465,-39.963850308013264,-40.16041781320571,16.92780902449924
91,2020-05-14,-30.701138257938418,-16.050273397103666,-11.64981757879599,-41.468032834996606,-40.243979609657885,17.82024369591543
92,2020-05-15,-31.78082682282602,-17.850153258352545,-17.655545658233688,-41.46026599154399,-39.92784019727368,18.71274958128936
93,2020-05-16,-34.39988808382656,-14.85533740222322,-15.059019395305299,-36.66459051232746,-24.2175260847023,10.523156058314179
94,2020-05-17,-37.876600891884905,-24.855665455386,-18.727639747902764,-41.24366094049078,-28.547802669691663,8.555527928550106
95,2020-05-18,-29.48212757519065,-20.061116863843456,-18.002459059738733,-40.481017829784065,-37.406534761384094,15.609758490217345
96,2020-05-19,-28.16231833997133,-18.060898743864048,-10.990679202106474,-38.38472811554436,-38.089483644540024,16.2487489888501
97,2020-05-20,-26.642890384800626,-17.26074294606213,-9.786623079298165,-37.488619904569504,-37.57271820032413,16.08777703220849
98,2020-05-21,-28.122453063115646,-16.660499181526767,-11.7869348415505,-38.99280243154847,-37.656279996773016,16.98021170362765
99,2020-05-22,-29.202141628010324,-18.460379042781003,-17.792662920984434,-38.98503558809513,-37.34014058438029,17.872717588993726
100,2020-05-23,-31.8212028890157,-15.465563186655404,-15.196136658051385,-34.18936010888079,-21.629826471805877,9.683124066013475
101,2020-05-24,-35.297915697073584,-25.465891239800804,-18.86475701064348,-38.76843053703049,-25.960103056770706,7.7154959362447
102,2020-05-25,-26.90344238036519,-20.671342648257372,-18.139576322478753,-38.005787426330755,-34.81883514849276,14.769726497927255
103,2020-05-26,-25.583633145149076,-18.67112452828494,-11.127796464850341,-35.90949771209287,-35.50178403164869,15.40871699655748
