,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
194,2020-08-27,7.979139664361078,-25.203660163522052,-13.706576520054995,-4.339576783287501,-1.4284854163774958,5.219763811546951
195,2020-08-28,6.899451099478831,-27.00354002476649,-19.712304599495923,-4.331809939837681,-1.112346004004408,6.112269696929756
196,2020-08-29,4.280389838479439,-24.008724168627587,-17.1157783365647,0.46386553938415176,14.59796810857442,-2.0773238260446085
197,2020-08-30,0.8036770304164005,-34.0090522217881,-20.784398689160064,-4.11520488877354,10.2676915236055,-4.044951955819913
198,2020-08-31,9.19815034713328,-29.214503630231466,-20.059218000985272,-3.3525617780645636,1.4089594318833027,3.009278605869136
199,2020-09-01,10.51795958234126,-27.21428551025134,-13.047438143364896,-1.2562720638239995,0.726010548757841,3.648269104485207
200,2020-09-02,12.037387537505627,-26.41412971246481,-11.843382020563123,-0.3601638528594442,1.2427759929588942,3.4872971478461423
201,2020-09-03,10.557824859194739,-25.81388594792955,-13.843693782807518,-1.8643463798320374,1.159214196513457,4.3797318192619965
202,2020-09-04,9.478136294305065,-27.61376580918518,-19.849421862249336,-1.8565795363842947,1.475353608888442,5.272237704639049
203,2020-09-05,6.859075033298377,-24.618949953057765,-17.252895599317576,2.939095942831661,17.18566772146375,-2.917355818339261
204,2020-09-06,3.3823622252376735,-34.619278006216376,-20.921515951910603,-1.639974485328087,12.855391136486414,-4.884983948109227
205,2020-09-07,11.776835541958748,-29.82472941464539,-20.196335263725295,-0.8773313746112605,3.996659044774633,2.169246613579042
206,2020-09-08,13.096644777158003,-27.82451129468968,-13.184555406118026,1.218958339619193,3.313710161634476,2.808237112195117
207,2020-09-09,14.616072732329373,-27.024355496890514,-11.980499283310236,2.1150665505938324,3.830475605847036,2.647265155554501
208,2020-09-10,13.136510054007115,-26.424111732371404,-13.980811045541813,0.6108840236142323,3.746913809402825,3.5396998269578974
209,2020-09-11,12.056821489120743,-28.22399159361363,-19.98653912500008,0.6186508670645623,4.063053221781816,4.432205712343421
210,2020-09-12,9.437760228117307,-25.229175737487942,-17.39001286207045,5.414326346279157,19.773367334353082,-3.7573878106339116
211,2020-09-13,5.961047420062978,-35.229503790650796,-21.058633214670706,0.8352559181143515,15.443090749355099,-5.725015940392561
212,2020-09-14,14.355520736758086,-30.434955199103058,-20.33345252650186,1.597899028824028,6.584358657666993,1.329214621274005
213,2020-09-15,15.675329971974756,-28.43473707912802,-13.321672668871157,3.6941887430623863,5.901409774511112,1.9682051199050274
214,2020-09-16,17.19475792714647,-27.63458128132318,-12.117616546063754,4.590296954037591,6.418175218728619,1.8072331632637493
215,2020-09-17,15.71519524882989,-27.034337516794505,-14.117928308296326,3.0861144270623715,6.334613422287701,2.6996678346701177
216,2020-09-18,14.635506683936446,-28.834217378042087,-20.123656387750827,3.093881270513407,6.650752834675202,3.5921737200477923
217,2020-09-19,12.016445422928168,-25.83940152192012,-17.52713012481654,7.889556749725819,22.361066947249505,-4.597419802934614
218,2020-09-20,8.539732614870267,-35.839729575059444,-21.19575047740186,3.3104863215776485,18.03079036228827,-6.56504793270394
219,2020-09-21,16.934205931583538,-31.045180983516975,-20.47056978924188,4.073129432277319,9.172058270558312,0.4891826289839163
220,2020-09-22,18.254015166802503,-29.044962863531463,-13.45878993160576,6.169419146522181,8.489109387417162,1.128173127609878
221,2020-09-23,19.77344312196358,-28.244807065755847,-12.254733808817267,7.065527357481349,9.005874831610203,0.9672011709730013
222,2020-09-24,18.29388044364177,-27.644563301233216,-14.255045571052824,5.561344830503175,8.92231303516646,1.8596358423795145
223,2020-09-25,17.214191878764748,-29.44444316247601,-20.260773650499257,5.569111673948886,9.238452447525304,2.7521417277721847
224,2020-09-26,14.595130617739033,-26.449627306352305,-17.66424738756263,10.36478715317248,24.948766560145927,-5.437451795235315
225,2020-09-27,11.118417809695572,-36.44995535949387,-21.332867740161962,5.785716725020087,20.61848997515696,-7.405079924987274
226,2020-09-28,19.512891126408185,-31.655406767943997,-20.60768705199235,6.548359835724341,11.759757883434698,-0.3508493633014542
227,2020-09-29,20.83270036161924,-29.6551886479698,-13.59590719435889,8.644649549965362,11.076809000293785,0.28814113531979135
228,2020-09-30,22.352128316789784,-28.85503285017016,-12.391851071564542,9.540757760933772,11.59357444450333,0.12716917868241895
229,2020-10-01,20.87256563847544,-28.254789085640713,-14.39216283380535,8.03657523395865,11.510012648057426,1.019603850094557
230,2020-10-02,19.792877073590983,-30.054668946894697,-20.39789091325267,8.044342077402286,11.826152060418142,1.9121097354814776
231,2020-10-03,17.17381581256606,-27.05985309078047,-17.80136465032229,12.840017556620836,27.536466173028167,-6.27748378752392
232,2020-10-04,13.697103004516848,-37.060181143922144,-21.4699850029125,8.260947128465528,23.20618958803788,-8.245111917276589
233,2020-10-05,22.091576321232818,-32.26563255237102,-20.744804314742822,9.023590239171364,14.347457496311094,-1.1908813555868247
234,2020-10-06,23.411385556438113,-30.265414432403706,-13.733024457130053,11.119879953405057,13.664508613170856,-0.5518908569663825
235,2020-10-07,24.930813511597787,-29.46525863462117,-12.5289683343243,12.015988164368853,14.181274057373368,-0.712862813608488
236,2020-10-08,23.451250833287304,-28.86501487007941,-14.529280096561846,10.51180563739944,14.09771226093619,0.17957185780395513
237,2020-10-09,22.371562268396136,-30.66489473133293,-20.53500817600075,10.519572480846588,14.413851673312067,1.0720777431809267
238,2020-10-10,19.752501007376917,-27.670078875212653,-17.93848191306838,15.315247960067499,30.124165785924596,-7.117515779824624
239,2020-10-11,16.27578819932817,-37.67040692833695,-21.607102265653214,10.736177531925822,25.79388920095883,-9.085143909581994
240,2020-10-12,24.670261516057465,-32.875858336798046,-20.88192157749329,11.498820642618387,16.935157109187482,-2.030913347872195
241,2020-10-13,25.99007075125486,-30.875640216842047,-13.870141719883186,13.595110356848249,16.252208226047507,-1.3919228492564721
242,2020-10-14,27.50949870643063,-30.07548441902854,-12.666085597065168,14.491218567830806,16.768973670273045,-1.5528948058999683
243,2020-10-15,26.029936028110082,-29.475240654502514,-14.66639735931636,12.98703604084758,16.68541187382105,-0.6604601344838255
244,2020-10-16,24.95024746322237,-31.27512051575161,-20.67212543875416,12.994802884299986,17.0015512862049,0.23204575089022006
245,2020-10-17,22.331186202213928,-28.28030465962407,-18.075599175819058,17.7904783635158,32.711865398783374,-7.957547772090873
246,2020-10-18,18.854473394149426,-38.28063271276521,-21.744219528403754,13.211407935371264,28.381588813839745,-9.9251759018713
247,2020-10-19,27.248946710882933,-33.48608412121197,-21.01903884023331,13.97405104607169,19.522856722078814,-2.870945340162286
248,2020-10-20,28.568755946082618,-31.485866001245487,-14.007258982617788,16.070340760308046,18.839907838953543,-2.2319548415516217
249,2020-10-21,30.088183901256848,-30.68571020344286,-12.80320285981244,16.966448971283242,19.35667328316618,-2.392926798190559
250,2020-10-22,28.608621222933365,-30.08546643892877,-14.803514622048663,15.462266444301186,19.27311148671652,-1.5004921267851024
251,2020-10-23,27.52893265803807,-31.88534630018007,-20.809242701504907,15.470033287748842,19.589250899098303,-0.6079862414054094
252,2020-10-24,24.90987139703286,-28.890530444054246,-18.212716438571935,20.26570876696331,35.29956501167271,-8.797579764385524
