,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
162,2020-07-25,28.822401660379384,57.90392533464783,81.9527953204722,2.491738892966464,17.02943695764527,-4.4098749339713
163,2020-07-26,28.868496087923212,52.69857941014117,78.96284249788678,5.244072321191799,18.432037707892658,-5.489743067962586
164,2020-07-27,33.41487818929071,58.07639901274684,94.63873779475544,8.163230075729324,21.41667880987356,-6.2350248554366114
165,2020-07-28,33.91457694971236,58.07659631671203,96.88863435548998,7.413279585887006,19.418123798189825,-5.984488050398381
166,2020-07-29,29.91436535568848,56.32682750990902,92.13888649770459,0.91368511701442,13.172653077991242,-3.9839107762178965
167,2020-07-30,29.914075865331032,57.32719838775607,85.88921483697435,3.413533397984515,18.16917354213715,-4.733173066606645
168,2020-07-31,30.913766579896134,57.577528385499726,86.63918759209001,3.663520991466513,18.918723902466365,-5.482457572564309
169,2020-08-01,30.413515360378675,61.32803719274714,86.63919844446319,2.6635859808233704,18.16928103751875,-4.731767442689451
170,2020-08-02,30.45960978792657,56.12269126824273,83.64924562188222,5.415919409055601,19.57188178777381,-5.811635576682667
171,2020-08-03,35.005991889279564,61.500510870835534,99.3251409187073,8.33507716358228,22.55652288974659,-6.556917364153891
172,2020-08-04,35.50569064971381,61.50070817482855,101.57503747949082,7.585126673743568,20.55796787806684,-6.306380559114541
173,2020-08-05,31.505479055688333,59.75093936801836,96.82528962169953,1.0855322048703981,14.312497157867794,-4.3058032849348455
174,2020-08-06,31.505189565334284,60.75131024587242,90.57561796098466,3.5853804858398606,19.309017622013982,-5.055065575323628
175,2020-08-07,32.50488027989706,61.00164024360742,91.32559071609272,3.835368079320048,20.058567982338037,-5.8043500812813855
176,2020-08-08,32.00462906038504,64.75214905085572,91.32560156847161,2.8354330686825633,19.309125117398413,-5.053659951409152
177,2020-08-09,32.050723487929936,59.546803126344294,88.33564874587762,5.587766496919403,20.711725867654962,-6.133528085402749
178,2020-08-10,36.59710558928237,64.92462272893607,104.01154404270723,8.506924251441331,23.696366969621675,-6.878809872873072
179,2020-08-11,37.09680434971063,64.92482003291823,106.26144060347359,7.756973761597385,21.69781195793506,-6.628273067832759
180,2020-08-12,33.096592755686295,63.175051226113716,101.51169274568086,1.2573792927280842,15.452341237743159,-4.627695793653582
181,2020-08-13,33.096303265335344,64.17542210396525,95.2620210849638,3.757227573704104,20.448861701895332,-5.376958084044981
182,2020-08-15,34.09599397989751,64.42575210170013,96.0119938400821,4.007215167182581,21.19841206221779,-6.126242590001049
183,2020-08-16,33.59574276038434,68.17626090895502,96.01200469246261,3.007280156539469,20.448969197271897,-5.375552460127305
184,2020-08-17,33.6418371879315,62.970914984440896,93.02205186987737,5.759613584777046,21.851569947528375,-6.455420594121929
185,2020-08-18,38.18821928928519,68.3487345870366,108.69794716670717,8.678771339300384,24.836211049496765,-7.200702381592254
186,2020-08-19,38.687918049707434,68.34893189100792,110.94784372745637,7.9288208494512,22.837656037803278,-6.950165576550977
187,2020-08-20,34.687706455697494,66.59916308422095,106.1980958697027,1.4292263805945762,16.59218531762189,-4.949588302375021
188,2020-08-21,34.687416965337505,67.59953396206983,99.94842420895856,3.9290746615638996,21.58870578177442,-5.698850592764148
189,2020-08-22,35.687107679898354,67.84986395980057,100.6983969640704,4.179062255042426,22.338256142094718,-6.448135098720282
190,2020-08-23,35.18685646038459,71.60037276705305,100.69840781644317,3.1791272444032947,21.58881327715259,-5.697444968847154
191,2020-08-24,35.23295088793665,66.39502684254742,97.70845499386846,5.931460672647008,22.991414027417264,-6.777313102842912
192,2020-08-25,39.779332989290275,71.77284644514732,113.38435029070965,8.850618427163617,25.976055129378587,-7.522594890311364
193,2020-08-26,40.279031749708885,71.77304374912441,115.63424685145719,8.10066793730776,23.97750011768029,-7.272058085267137
194,2020-08-27,36.278820155695456,70.02327494231632,110.884498993684,1.6010734684522627,17.73202939749725,-5.271480811093756
195,2020-08-28,36.27853066533966,71.02364582017442,104.63482733295328,4.100921749423694,22.728549861653505,-6.020743101483317
196,2020-08-29,37.27822137989921,71.27397581790105,105.38480008805871,4.35090934290227,23.478100221971648,-6.770027607439514
197,2020-08-30,36.777970160384825,75.02448462515109,105.38481094042375,3.3509743322671195,22.728657357033285,-6.019337477567004
198,2020-08-31,36.82406458792634,69.8191387006455,102.39485811784276,6.103307760485354,24.131258107273364,-7.099205611556274
199,2020-09-01,41.37044668927913,75.19695830323602,118.07075341466154,9.02246551501657,27.11589920925161,-7.844487399028645
200,2020-09-02,41.8701454497057,75.19715560721411,120.32064997543996,8.272515025161576,25.117344197548512,-7.593950593985355
201,2020-09-03,37.86993385569531,73.44738680042566,115.57090211767897,1.7729205563082404,18.871873477373803,-5.593373319810707
202,2020-09-04,37.86964436534182,74.447757678279,109.32123045694802,4.272768837283489,23.8683939415326,-6.342635610202484
203,2020-09-05,38.86933507989973,74.69808767600097,110.07120321206249,4.522756430758493,24.61794430184614,-7.09192011615702
204,2020-09-06,38.36908386038317,78.44859648325165,110.07121406442515,3.522821420117106,23.868501436899553,-6.34122998628346
205,2020-09-07,38.415178287929706,73.24325055874706,107.08126124183818,6.275154848349156,25.271102187154515,-7.421098120276356
206,2020-09-08,42.961560389281935,78.62107016133655,122.75715653866146,9.194312602875623,28.255743289126695,-8.166379907747826
207,2020-09-09,43.46125914970484,78.62126746531719,125.00705309943174,8.444362113016766,26.257188277421125,-7.915843102702543
208,2020-09-10,39.461047555691366,76.87149865850704,120.25730524164665,1.9447676441676345,20.011717557247984,-5.9152658285312265
209,2020-09-11,39.46075806533675,77.87186953636517,114.00763358093042,4.444615925137206,25.008238021395456,-6.664528118919181
210,2020-09-12,40.4604487799005,78.1221995340942,114.75760633603636,4.694603518624647,25.75778838172833,-7.413812624878409
211,2020-09-13,39.96019756038341,81.87270834134969,114.75761718840572,3.6946685079809316,25.00834551678025,-6.66312249500331
212,2020-09-14,40.00629198793306,76.66736241684862,111.76766436583361,6.447001936212958,26.41094626703567,-7.742990628996439
213,2020-09-15,44.55267408928475,82.04518201943706,127.44355966266136,9.366159690734674,29.39558736900178,-8.488272416467007
214,2020-09-16,45.05237284971371,82.0453793234105,129.69345622342576,8.616209200892722,27.39703235731485,-8.237735611428455
215,2020-09-17,41.052161255691225,80.29561051661638,124.9437083656416,2.116614732023613,21.151561637124534,-6.237158337248176
